,domestic,international,total
2016-01-31,5029,6869,11898
2016-02-29,4555,5993,10548
2016-03-31,5327,7486,12813
2016-04-30,5886,8807,14693
2016-05-31,6977,9974,16951
2016-06-30,8649,11131,19780
2016-07-31,9882,13264,23146
2016-08-31,9775,13216,22991
2016-09-30,8381,11372,19753
2016-10-31,7221,10048,17269
2016-11-30,5065,7795,12860
2016-12-31,5075,8174,13249
2017-01-31,4950,7521,12471
2017-02-28,4549,6593,11142
2017-03-31,5283,8492,13775
2017-04-30,6524,9919,16443
2017-05-31,7841,11208,19049
2017-06-30,9432,12612,22044
2017-07-31,10929,14679,25608
2017-08-31,11112,14940,26052
2017-09-30,9516,12568,22084
2017-10-31,8080,11133,19213
2017-11-30,6197,8474,14671
2017-12-31,6117,8425,14542
2018-01-31,5794,7854,13648
2018-02-28,5199,7007,12206
2018-03-31,5868,8481,14349
2018-04-30,7062,10449,17511
2018-05-31,8342,11644,19986
2018-06-30,10228,13041,23269
2018-07-31,11421,15278,26699
2018-08-31,11347,15297,26644
2018-09-30,9768,13016,22784
2018-10-31,7917,11652,19569
2018-11-30,5713,8705,14418
2018-12-31,5544,9001,14545
2019-01-31,4950,7521,12471
2019-02-28,4549,6593,11142
2019-03-31,5283,8492,13775
2019-04-30,6524,9919,16443
2019-05-31,7841,11208,19049
2019-06-30,9432,12612,22044
2019-07-31,10929,14679,25608
2019-08-31,11112,14940,26052
2019-09-30,9516,12568,22084
2019-10-31,8080,11133,19213
2019-11-30,6197,8474,14671
2019-12-31,6117,8425,14542
